title,Year,certificate,genre,details,lead_actors,gross collected
Metropolis,1927,Not Rated,Drama,In a futuristic city sharply divided between the working class and the city planners the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.,Brigitte Helm,1.24
The Kid,1921,Passed,Comedy,The Tramp cares for an abandoned child but events put that relationship in jeopardy.,Charles Chaplin,5.45
Andhadhun,2018,Not Rated,Comedy,A series of mysterious events change the life of a blind pianist who must now report a crime that he should technically know nothing of.,Ayushmann Khurrana,1.37
Green Book,2018,PG-13,Biography,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Viggo Mortensen,85.08
A Silent Voice: The Movie,2016,Not Rated,Animation,A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later he sets off on a path for redemption.,Miyu Irino,0
Klaus,2019,PG,Animation,A simple act of kindness always sparks another even in a frozen faraway place. When Smeerensburg's new postman Jesper befriends toymaker Klaus their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.,Carlos Martínez López,0
Gangs of Wasseypur,2012,Not Rated,Action,A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur and ignites a deadly blood feud spanning three generations.,Manoj Bajpayee,0
The Secret in Their Eyes,2009,R,Drama,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Ricardo Darín,6.39
Dune,2021,PG-13,Action,Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.,Timothée Chalamet,0
Shutter Island,2010,R,Mystery,In 1954 a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.,Leonardo DiCaprio,128.01
Up,2009,PG,Animation,78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons inadvertently taking a young stowaway.,Bob Peterson,293
Miracle in Cell No. 7,2019,TV-14,Drama,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie  (2013).,Aras Bulut Iynemli,0
The Wolf of Wall Street,2013,R,Biography,Based on the true story of  from his rise to a wealthy stock-broker living the high life to his fall involving crime corruption and the federal government.,Leonardo DiCaprio,116.9
My Father and My Son,2005,Not Rated,Drama,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Eser Sariyar,0
There Will Be Blood,2007,R,Drama,A story of family religion hatred oil and madness focusing on a turn-of-the-century prospector in the early days of the business.,Daniel Day-Lewis,40.22
Pan's Labyrinth,2006,R,Drama,In the Falangist Spain of 1944 the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.,Ivana Baquero,37.63
Toy Story 3,2010,G,Animation,The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college and it's up to Woody to convince the other toys that they weren't abandoned and to return home.,Tom Hanks,415
Batman Begins,2005,PG-13,Action,After training with his mentor Batman begins his fight to free crime-ridden Gotham City from corruption.,Christian Bale,206.85
Downfall,2004,R,Biography, the final secretary for  tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.,Bruno Ganz,5.51
Howl's Moving Castle,2004,PG,Animation,When an unconfident young woman is cursed with an old body by a spiteful witch her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged walking castle.,Chieko Baishô,4.71
A Beautiful Mind,2001,PG-13,Biography,After  a brilliant but asocial mathematician accepts secret work in cryptography his life takes a turn for the nightmarish.,Russell Crowe,170.74
Snatch,2000,R,Comedy,Unscrupulous boxing promoters violent bookmakers a Russian gangster incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.,Jason Statham,30.33
Lock Stock and Two Smoking Barrels,1998,R,Action,Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster Hatchet Harry. Eddy loses after which Harry gives him a week to pay back 500000 pounds.,Jason Flemyng,3.9
L.A. Confidential,1997,R,Crime,As corruption grows in 1950s Los Angeles three policemen - one strait-laced one brutal and one sleazy - investigate a series of murders with their own brand of justice.,Kevin Spacey,64.62
The Bandit,1996,Not Rated,Crime,Baran the Bandit released from prison after 35 years searches for vengeance and his lover.,Sener Sen,0
Heat,1995,R,Action,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Al Pacino,67.44
Casino,1995,R,Crime,A tale of greed deception money power and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire and over a fast-living and fast-loving socialite.,Robert De Niro,42.44
Unforgiven,1992,R,Drama,"Retired Old West gunslinger William Munny reluctantly takes on one last job with the help of his old partner Ned Logan and a young man The ""Schofield Kid.""",Clint Eastwood,101.16
Indiana Jones and the Last Crusade,1989,PG-13,Action,"In 1938 after his father Professor Henry Jones Sr. goes missing while pursuing the Holy Grail Professor Henry ""Indiana"" Jones Jr. finds himself up against 's Nazis again to stop them from obtaining its powers.",Harrison Ford,197.17
My Neighbor Totoro,1988,G,Animation,When two girls move to the country to be near their ailing mother they have adventures with the wondrous forest spirits who live nearby.,Hitoshi Takagi,1.11
Die Hard,1988,R,Action,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Bruce Willis,83.01
Ran,1985,R,Action,In Medieval Japan an elderly warlord retires handing over his empire to his three sons. However he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.,Tatsuya Nakadai,4.14
Raging Bull,1980,R,Biography,The life of boxer  whose violence and temper that led him to the top in the ring destroyed his life outside of it.,Robert De Niro,23.38
Autumn Sonata,1978,PG,Drama,A devoted wife is visited by her mother a successful concert pianist who had little time for her when she was young.,Ingrid Bergman,0
Taxi Driver,1976,R,Crime,A mentally unstable veteran works as a nighttime taxi driver in New York City where the perceived decadence and sleaze fuels his urge for violent action.,Robert De Niro,28.26
Monty Python and the Holy Grail,1975,PG,Adventure,King Arthur and his Knights of the Round Table embark on a surreal low-budget search for the Holy Grail encountering many very silly obstacles.,Terry Jones,1.23
Chinatown,1974,R,Drama,A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit corruption and murder.,Jack Nicholson,8.49
Z,1969,M,Crime,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,Yves Montand,0.08
For a Few Dollars More,1965,R,Western,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,Clint Eastwood,15
The Great Escape,1963,Approved,Adventure,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,Steve McQueen,12.1
To Kill a Mockingbird,1962,Approved,Crime,Atticus Finch a widowed lawyer in Depression-era Alabama defends a black man against an undeserved rape charge and his children against prejudice.,Gregory Peck,0
Yojimbo,1961,Not Rated,Action,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Toshirô Mifune,0
Judgment at Nuremberg,1961,Approved,Drama,In 1948 an American court in occupied Germany tries four Nazis judged for war crimes.,Spencer Tracy,0
Some Like It Hot,1959,Passed,Comedy,After two male musicians witness a mob hit they flee the state in an all-female band disguised as women but further complications set in.,Marilyn Monroe,25
Wild Strawberries,1957,Not Rated,Drama,After living a life marked by coldness an aging professor is forced to confront the emptiness of his existence.,Victor Sjöström,0
The Seventh Seal,1957,Not Rated,Drama,A knight returning to Sweden after the Crusades seeks answers about life death and the existence of God as he plays chess against the Grim Reaper during the Black Plague.,Max von Sydow,0
Dial M for Murder,1954,PG,Crime,A former tennis player tries to arrange his wife's murder after learning of her affair.,Ray Milland,0.01
Tokyo Story,1953,Not Rated,Drama,An old couple visit their children and grandchildren in the city but receive little attention.,Chishû Ryû,0
Rashomon,1950,Not Rated,Crime,The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit the bride the samurai's ghost and a woodcutter.,Toshirô Mifune,0.1
